candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
G15_noGoldEquiv,1982-03,2012-02,1980s,24.2354,11.211,28.48
allocation_noGoldEquiv,1982-03,2012-02,1980s,38.3236,12.923,28.59
A_Current,1982-04,2012-03,1980s,44.6280,13.498,48.07
G15_noGoldEquiv,1982-04,2012-03,1980s,25.0984,11.341,28.58
allocation_noGoldEquiv,1982-04,2012-03,1980s,40.0153,13.086,29.59
A_Current,1982-05,2012-04,1980s,42.1302,13.280,47.94
G15_noGoldEquiv,1982-05,2012-04,1980s,23.4099,11.083,28.04
allocation_noGoldEquiv,1982-05,2012-04,1980s,37.4621,12.837,29.10
A_Current,1982-06,2012-05,1980s,40.0825,13.092,47.79
G15_noGoldEquiv,1982-06,2012-05,1980s,22.4628,10.930,27.52
allocation_noGoldEquiv,1982-06,2012-05,1980s,35.7961,12.666,28.66
A_Current,1982-07,2012-06,1980s,41.4127,13.215,47.83
G15_noGoldEquiv,1982-07,2012-06,1980s,22.8608,10.995,28.01
allocation_noGoldEquiv,1982-07,2012-06,1980s,36.3697,12.726,29.08
A_Current,1982-08,2012-07,1980s,41.2781,13.203,48.15
G15_noGoldEquiv,1982-08,2012-07,1980s,22.5605,10.946,28.51
allocation_noGoldEquiv,1982-08,2012-07,1980s,36.3496,12.724,29.57
A_Current,1982-09,2012-08,1980s,41.4007,13.214,48.20
G15_noGoldEquiv,1982-09,2012-08,1980s,22.2637,10.897,28.53
allocation_noGoldEquiv,1982-09,2012-08,1980s,36.1414,12.702,29.57
A_Current,1982-10,2012-09,1980s,39.5100,13.038,48.29
G15_noGoldEquiv,1982-10,2012-09,1980s,21.4184,10.754,28.96
allocation_noGoldEquiv,1982-10,2012-09,1980s,34.7268,12.553,29.94
A_Current,1982-11,2012-10,1980s,36.1058,12.699,48.30
G15_noGoldEquiv,1982-11,2012-10,1980s,19.7416,10.453,29.24
allocation_noGoldEquiv,1982-11,2012-10,1980s,32.3632,12.288,28.78
A_Current,1982-12,2012-11,1980s,33.5537,12.424,48.17
G15_noGoldEquiv,1982-12,2012-11,1980s,18.7586,10.266,29.05
allocation_noGoldEquiv,1982-12,2012-11,1980s,30.7128,12.093,28.63
A_Current,1983-01,2012-12,1980s,34.3509,12.512,47.78
G15_noGoldEquiv,1983-01,2012-12,1980s,19.2806,10.367,28.32
allocation_noGoldEquiv,1983-01,2012-12,1980s,31.3958,12.175,28.13
A_Current,1983-02,2013-01,1980s,34.3506,12.512,48.14
G15_noGoldEquiv,1983-02,2013-01,1980s,19.1633,10.344,29.21
allocation_noGoldEquiv,1983-02,2013-01,1980s,31.3049,12.164,28.81
A_Current,1983-03,2013-02,1980s,34.3728,12.514,47.83
G15_noGoldEquiv,1983-03,2013-02,1980s,19.4120,10.392,28.48
allocation_noGoldEquiv,1983-03,2013-02,1980s,31.7714,12.219,28.59
A_Current,1983-04,2013-03,1980s,34.1939,12.495,48.07
G15_noGoldEquiv,1983-04,2013-03,1980s,19.6141,10.430,28.58
allocation_noGoldEquiv,1983-04,2013-03,1980s,32.0324,12.250,29.59
A_Current,1983-05,2013-04,1980s,32.3794,12.290,47.94
G15_noGoldEquiv,1983-05,2013-04,1980s,18.3778,10.190,28.04
allocation_noGoldEquiv,1983-05,2013-04,1980s,30.1860,12.028,29.10
A_Current,1983-06,2013-05,1980s,32.1458,12.263,47.79
G15_noGoldEquiv,1983-06,2013-05,1980s,18.1333,10.141,27.52
allocation_noGoldEquiv,1983-06,2013-05,1980s,29.7018,11.968,28.66
A_Current,1983-07,2013-06,1980s,31.0339,12.132,47.83
G15_noGoldEquiv,1983-07,2013-06,1980s,17.4696,10.004,28.01
allocation_noGoldEquiv,1983-07,2013-06,1980s,28.7019,11.840,29.08
A_Current,1983-08,2013-07,1980s,31.8403,12.227,48.15
G15_noGoldEquiv,1983-08,2013-07,1980s,17.8410,10.081,28.51
allocation_noGoldEquiv,1983-08,2013-07,1980s,29.3236,11.920,29.57
A_Current,1983-09,2013-08,1980s,32.0890,12.257,48.20
G15_noGoldEquiv,1983-09,2013-08,1980s,17.9419,10.102,28.53
allocation_noGoldEquiv,1983-09,2013-08,1980s,29.4300,11.933,29.57
A_Current,1983-10,2013-09,1980s,32.0161,12.248,48.29
G15_noGoldEquiv,1983-10,2013-09,1980s,17.9088,10.095,28.96
allocation_noGoldEquiv,1983-10,2013-09,1980s,29.3280,11.920,29.94
A_Current,1983-11,2013-10,1980s,33.2990,12.395,48.30
G15_noGoldEquiv,1983-11,2013-10,1980s,18.2519,10.165,29.24
allocation_noGoldEquiv,1983-11,2013-10,1980s,29.9121,11.994,28.78
A_Current,1983-12,2013-11,1980s,34.3013,12.506,48.17
G15_noGoldEquiv,1983-12,2013-11,1980s,18.6371,10.242,29.05
allocation_noGoldEquiv,1983-12,2013-11,1980s,30.6150,12.081,28.63
A_Current,1984-01,2013-12,1980s,35.0687,12.589,47.78
G15_noGoldEquiv,1984-01,2013-12,1980s,19.2670,10.364,28.32
allocation_noGoldEquiv,1984-01,2013-12,1980s,31.3931,12.175,28.13
A_Current,1984-02,2014-01,1980s,34.0547,12.479,48.14
G15_noGoldEquiv,1984-02,2014-01,1980s,18.7759,10.269,29.21
allocation_noGoldEquiv,1984-02,2014-01,1980s,30.7543,12.098,28.81
A_Current,1984-03,2014-02,1980s,36.7516,12.765,47.83
G15_noGoldEquiv,1984-03,2014-02,1980s,20.1062,10.521,28.48
allocation_noGoldEquiv,1984-03,2014-02,1980s,32.7075,12.328,28.59
A_Current,1984-04,2014-03,1980s,37.5197,12.843,48.07
G15_noGoldEquiv,1984-04,2014-03,1980s,20.7427,10.636,28.58
allocation_noGoldEquiv,1984-04,2014-03,1980s,33.6537,12.435,29.59
A_Current,1984-05,2014-04,1980s,36.8775,12.778,47.94
G15_noGoldEquiv,1984-05,2014-04,1980s,20.0093,10.503,28.04
allocation_noGoldEquiv,1984-05,2014-04,1980s,32.5162,12.306,29.10
A_Current,1984-06,2014-05,1980s,37.8576,12.877,47.79
G15_noGoldEquiv,1984-06,2014-05,1980s,20.3946,10.573,27.52
allocation_noGoldEquiv,1984-06,2014-05,1980s,32.7542,12.333,28.66
A_Current,1984-07,2014-06,1980s,39.1696,13.005,47.83
G15_noGoldEquiv,1984-07,2014-06,1980s,20.5726,10.605,28.01
allocation_noGoldEquiv,1984-07,2014-06,1980s,33.2081,12.385,29.08
A_Current,1984-08,2014-07,1980s,38.8375,12.973,48.15
G15_noGoldEquiv,1984-08,2014-07,1980s,20.1824,10.535,28.51
allocation_noGoldEquiv,1984-08,2014-07,1980s,33.0614,12.368,29.57
A_Current,1984-09,2014-08,1980s,35.9408,12.682,48.20
G15_noGoldEquiv,1984-09,2014-08,1980s,19.1105,10.334,28.53
allocation_noGoldEquiv,1984-09,2014-08,1980s,31.1386,12.144,29.57
A_Current,1984-10,2014-09,1980s,35.3790,12.622,48.29
G15_noGoldEquiv,1984-10,2014-09,1980s,19.0269,10.318,28.96
allocation_noGoldEquiv,1984-10,2014-09,1980s,31.0302,12.131,29.94
A_Current,1984-11,2014-10,1980s,35.5266,12.638,48.30
G15_noGoldEquiv,1984-11,2014-10,1980s,18.6608,10.246,29.24
allocation_noGoldEquiv,1984-11,2014-10,1980s,30.6647,12.087,28.78
A_Current,1984-12,2014-11,1980s,36.4387,12.733,48.17
G15_noGoldEquiv,1984-12,2014-11,1980s,19.1357,10.339,29.05
